onset	duration	trial_type	value	sample
6.904	0.0	response/onset	2048	6904
8.54	0.0	stim/rt_meas	90	8540
9.073	0.0	response/onset	2048	9073
10.572	0.0	stim/rt_meas	90	10572
11.058	0.0	response/onset	2048	11058
12.554	0.0	stim/rt_meas	90	12554
13.06	0.0	response/onset	2048	13060
14.536	0.0	stim/rt_meas	90	14536
15.004	0.0	response/onset	2048	15004
16.503	0.0	stim/rt_meas	90	16503
17.053	0.0	response/onset	2048	17053
18.584	0.0	stim/rt_meas	90	18584
18.973	0.0	response/onset	2048	18973
18.975	0.0	response/onset	2048	18975
20.434	0.0	stim/rt_meas	90	20434
20.844	0.0	response/onset	2048	20844
22.316	0.0	stim/rt_meas	90	22316
22.732	0.0	response/onset	2048	22732
22.734	0.0	response/onset	2048	22734
24.182	0.0	stim/rt_meas	90	24182
24.549	0.0	response/onset	2048	24549
26.015	0.0	stim/rt_meas	90	26015
26.404	0.0	response/onset	2048	26404
27.864	0.0	stim/rt_meas	90	27864
28.264	0.0	response/onset	2048	28264
29.713	0.0	stim/rt_meas	90	29713
30.12	0.0	response/onset	2048	30120
31.579	0.0	stim/rt_meas	90	31579
31.985	0.0	response/onset	2048	31985
33.462	0.0	stim/rt_meas	90	33462
33.898	0.0	response/onset	2048	33898
35.378	0.0	stim/rt_meas	90	35378
35.776	0.0	response/onset	2048	35776
37.227	0.0	stim/rt_meas	90	37227
37.613	0.0	response/onset	2048	37613
39.06	0.0	stim/rt_meas	90	39060
39.437	0.0	response/onset	2048	39437
40.892	0.0	stim/rt_meas	90	40892
41.303	0.0	response/onset	2048	41303
42.759	0.0	stim/rt_meas	90	42759
43.161	0.0	response/onset	2048	43161
44.624	0.0	stim/rt_meas	90	44624
45.111	0.0	response/onset	2048	45111
49.411	0.0	response/onset	2048	49411
49.606	0.0	trial_start	1	49606
51.638	0.0	stim/1	11	51638
51.819	0.0	stim/2	12	51819
52.619	0.0	stim/3	13	52619
53.819	0.0	stim/4	14	53819
55.931	0.0	rp_on/3_item/long/1	231	55931
60.755	0.0	response/onset/1	5001	60755
60.899	0.0	response/offset/1	21	60899
61.755	0.0	response/onset/2	5002	61755
61.885	0.0	response/offset/2	22	61885
62.789	0.0	response/onset/3	5003	62789
62.898	0.0	response/offset/3	23	62898
64.154	0.0	response/onset/4	5004	64154
64.316	0.0	response/offset/4	24	64316
64.826	0.0	feedback	29	64826
65.902	0.0	trial_end	30	65902
65.916	0.0	trial_start	1	65916
67.932	0.0	stim/1	11	67932
68.138	0.0	stim/2	12	68138
72.24	0.0	rp_on/1_item/long	130	72240
77.1	0.0	response/onset/1	5001	77100
77.238	0.0	response/offset/1	21	77238
79.639	0.0	response/onset/2	5002	79639
79.761	0.0	response/offset/2	22	79761
80.27	0.0	feedback	29	80270
81.312	0.0	trial_end	30	81312
81.327	0.0	trial_start	1	81327
83.343	0.0	stim/1	11	83343
83.53	0.0	stim/2	12	83530
85.632	0.0	rp_on/1_item/short	110	85632
90.492	0.0	response/onset/1	5001	90492
90.649	0.0	response/offset/1	21	90649
92.476	0.0	response/onset/2	5002	92476
92.629	0.0	response/offset/2	22	92629
93.137	0.0	feedback	29	93137
94.174	0.0	trial_end	30	94174
94.189	0.0	trial_start	1	94189
96.205	0.0	stim/1	11	96205
96.396	0.0	stim/2	12	96396
97.997	0.0	stim/3	13	97997
99.197	0.0	stim/4	14	99197
100.498	0.0	rp_on/3_item/long/6	236	100498
105.184	0.0	response/onset/1	5001	105184
105.325	0.0	response/offset/1	21	105325
106.695	0.0	response/onset/2	5002	106695
106.851	0.0	response/offset/2	22	106851
108.165	0.0	response/onset/3	5003	108165
108.31	0.0	response/offset/3	23	108310
108.687	0.0	response/onset/4	5004	108687
108.838	0.0	response/offset/4	24	108838
109.346	0.0	feedback	29	109346
110.417	0.0	trial_end	30	110417
110.433	0.0	trial_start	1	110433
112.466	0.0	stim/1	11	112466
112.668	0.0	stim/2	12	112668
114.267	0.0	stim/3	13	114267
115.067	0.0	stim/4	14	115067
116.772	0.0	rp_on/3_item/long/5	235	116772
121.43	0.0	response/onset/1	5001	121430
121.574	0.0	response/offset/1	21	121574
122.892	0.0	response/onset/2	5002	122892
123.055	0.0	response/offset/2	22	123055
123.451	0.0	response/onset/3	5003	123451
123.619	0.0	response/offset/3	23	123619
124.689	0.0	response/onset/4	5004	124689
124.868	0.0	response/offset/4	24	124868
125.38	0.0	feedback	29	125380
126.465	0.0	trial_end	30	126465
126.493	0.0	trial_start	1	126493
128.509	0.0	stim/1	11	128509
128.701	0.0	stim/2	12	128701
129.057	0.0	stim/3	13	129057
129.59	0.0	stim/4	14	129590
130.803	0.0	rp_on/3_item/short/1	211	130803
135.889	0.0	response/onset/1	5001	135889
136.072	0.0	response/offset/1	21	136072
136.255	0.0	response/onset/2	5002	136255
136.403	0.0	response/offset/2	22	136403
137.222	0.0	response/onset/3	5003	137222
137.368	0.0	response/offset/3	23	137368
138.272	0.0	response/onset/4	5004	138272
138.41	0.0	response/offset/4	24	138410
138.918	0.0	feedback	29	138918
139.989	0.0	trial_end	30	139989
140.005	0.0	trial_start	1	140005
142.02	0.0	stim/1	11	142020
142.212	0.0	stim/2	12	142212
146.315	0.0	rp_on/1_item/long	130	146315
151.374	0.0	response/onset/1	5001	151374
151.499	0.0	response/offset/1	21	151499
153.762	0.0	response/onset/2	5002	153762
153.878	0.0	response/offset/2	22	153878
154.387	0.0	feedback	29	154387
155.433	0.0	trial_end	30	155433
155.449	0.0	trial_start	1	155449
157.465	0.0	stim/1	11	157465
157.658	0.0	stim/2	12	157658
158.191	0.0	stim/3	13	158191
158.902	0.0	stim/4	14	158902
159.762	0.0	rp_on/3_item/short/4	214	159762
164.725	0.0	response/onset/1	5001	164725
164.85	0.0	response/offset/1	21	164850
165.508	0.0	response/onset/2	5002	165508
165.637	0.0	response/offset/2	22	165637
166.49	0.0	response/onset/3	5003	166490
166.611	0.0	response/offset/3	23	166611
166.766	0.0	response/onset/4	5004	166766
166.911	0.0	response/offset/4	24	166911
167.421	0.0	feedback	29	167421
168.494	0.0	trial_end	30	168494
168.51	0.0	trial_start	1	168510
170.526	0.0	stim/1	11	170526
170.716	0.0	stim/2	12	170716
171.249	0.0	stim/3	13	171249
171.605	0.0	stim/4	14	171605
172.816	0.0	rp_on/3_item/short/3	213	172816
177.478	0.0	response/onset/1	5001	177478
177.616	0.0	response/offset/1	21	177616
178.343	0.0	response/onset/2	5002	178343
178.47	0.0	response/offset/2	22	178470
178.626	0.0	response/onset/3	5003	178626
178.786	0.0	response/offset/3	23	178786
179.535	0.0	response/onset/4	5004	179535
179.682	0.0	response/offset/4	24	179682
180.189	0.0	feedback	29	180189
181.256	0.0	trial_end	30	181256
181.272	0.0	trial_start	1	181272
183.288	0.0	stim/1	11	183288
183.483	0.0	stim/2	12	183483
186.383	0.0	rp_on/1_item/medium	120	186383
191.19	0.0	response/onset/1	5001	191190
191.346	0.0	response/offset/1	21	191346
193.349	0.0	response/onset/2	5002	193349
193.499	0.0	response/offset/2	22	193499
194.006	0.0	feedback	29	194006
195.051	0.0	trial_end	30	195051
195.067	0.0	trial_start	1	195067
197.083	0.0	stim/1	11	197083
197.273	0.0	stim/2	12	197273
199.375	0.0	rp_on/1_item/short	110	199375
204.292	0.0	response/onset/1	5001	204292
204.425	0.0	response/offset/1	21	204425
206.221	0.0	response/onset/2	5002	206221
206.371	0.0	response/offset/2	22	206371
206.879	0.0	feedback	29	206879
207.913	0.0	trial_end	30	207913
207.928	0.0	trial_start	1	207928
209.944	0.0	stim/1	11	209944
210.14	0.0	stim/2	12	210140
210.851	0.0	stim/3	13	210851
211.206	0.0	stim/4	14	211206
212.24	0.0	rp_on/3_item/short/5	215	212240
217.056	0.0	response/onset/1	5001	217056
217.204	0.0	response/offset/1	21	217204
218.035	0.0	response/onset/2	5002	218035
218.15	0.0	response/offset/2	22	218150
218.255	0.0	response/onset/3	5003	218255
218.398	0.0	response/offset/3	23	218398
219.258	0.0	response/onset/4	5004	219258
219.381	0.0	response/offset/4	24	219381
219.889	0.0	feedback	29	219889
220.958	0.0	trial_end	30	220958
220.974	0.0	trial_start	1	220974
222.989	0.0	stim/1	11	222989
223.187	0.0	stim/2	12	223187
225.289	0.0	rp_on/1_item/short	110	225289
229.91	0.0	response/onset/1	5001	229910
230.058	0.0	response/offset/1	21	230058
231.467	0.0	response/onset/2	5002	231467
231.623	0.0	response/offset/2	22	231623
232.13	0.0	feedback	29	232130
233.236	0.0	trial_end	30	233236
233.252	0.0	trial_start	1	233252
235.268	0.0	stim/1	11	235268
235.458	0.0	stim/2	12	235458
238.359	0.0	rp_on/1_item/medium	120	238359
243.406	0.0	response/onset/1	5001	243406
243.542	0.0	response/offset/1	21	243542
245.248	0.0	response/onset/2	5002	245248
